Gender,Country,state,self_employed,family_history,treatment,no_employees,remote_work,tech_company,care_options,wellness_program,seek_help,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_vs_physical,age_range
1,45,10,-1,0,1,4,0,1,1,1,2,2,1,1,1,2,2,2
2,45,11,-1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,3
2,7,-1,-1,0,0,4,0,1,0,1,1,1,1,1,2,2,1,2
2,44,-1,-1,1,1,2,0,1,2,1,1,1,2,2,1,0,1,2
2,45,37,-1,0,0,1,1,1,0,0,0,0,1,1,1,2,0,2
2,45,36,-1,1,0,4,0,1,1,1,0,0,1,1,2,2,0,2
1,45,18,-1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,2
2,7,-1,-1,0,0,0,1,1,2,1,1,0,1,1,0,0,1,2
1,45,10,-1,1,1,1,0,1,2,1,1,3,0,1,2,2,1,3
2,7,-1,-1,0,0,2,0,1,0,0,0,0,1,1,2,2,2,1
2,45,29,-1,0,1,4,1,1,0,1,1,0,1,1,1,2,0,2
2,6,-1,-1,0,0,1,1,1,1,1,1,0,1,1,2,2,0,1
1,45,2,-1,1,1,2,0,0,2,1,1,1,2,2,2,2,1,3
2,45,4,-1,1,0,3,0,1,1,1,0,0,1,1,2,2,0,2
2,7,-1,-1,0,0,4,0,1,1,0,0,2,1,1,1,1,2,1
1,45,10,-1,1,1,2,0,1,1,1,1,2,1,1,2,1,0,1
2,44,-1,-1,0,1,2,1,1,0,0,0,4,0,1,1,0,1,1
2,45,36,-1,0,1,4,0,1,2,1,0,0,0,1,1,2,1,2
2,45,16,1,1,0,0,1,1,1,2,0,4,1,1,2,2,2,3
2,15,-1,1,1,0,4,1,1,0,2,1,2,1,1,1,1,0,2
2,45,28,0,1,1,1,0,1,2,1,1,1,0,1,1,1,1,1
2,45,22,1,0,0,0,1,1,0,1,1,1,1,1,1,1,2,2
2,45,15,0,0,1,2,1,1,2,1,1,0,0,1,1,2,1,3
2,45,8,0,0,1,5,0,0,0,1,0,0,0,1,0,0,0,3
2,45,2,0,1,1,2,0,1,1,0,2,0,1,1,2,2,0,2
2,45,36,0,1,1,5,0,0,2,1,0,4,2,1,1,2,1,2
2,45,36,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,2
1,45,2,0,1,1,4,1,1,2,0,0,0,1,1,2,2,2,2
2,45,29,0,0,1,2,1,1,1,1,0,1,1,1,1,0,1,2
2,44,-1,0,0,0,4,0,1,0,1,1,3,2,0,1,0,1,2
2,44,-1,0,0,0,4,1,1,0,1,1,0,2,2,1,1,1,2
2,45,32,1,1,0,0,1,1,2,1,1,1,2,1,0,0,1,2
2,44,-1,0,1,1,3,1,1,0,1,1,2,0,1,1,2,0,1
2,45,41,0,1,1,2,1,1,2,2,2,4,0,1,1,1,0,3
1,45,42,0,0,1,0,0,1,2,1,1,0,0,1,1,0,2,2
2,45,28,0,0,1,4,0,1,2,1,1,4,1,1,2,2,0,1
2,7,-1,0,0,0,0,0,1,0,1,1,4,2,0,1,0,0,1
2,34,-1,0,0,0,1,0,1,2,1,1,2,0,1,1,1,1,2
2,45,11,0,0,0,1,0,1,2,1,0,0,1,1,1,2,0,3
2,45,37,0,0,1,5,1,1,2,1,2,4,1,1,2,2,2,2
2,44,-1,0,0,1,4,0,1,0,1,1,0,0,0,1,0,1,1
2,45,18,0,0,0,5,1,1,1,0,2,1,2,2,1,0,0,2
2,7,-1,0,1,1,0,0,1,2,1,1,3,0,1,1,0,2,1
2,28,-1,0,0,0,4,0,1,1,1,1,1,2,0,0,1,1,0
2,45,11,0,0,1,2,0,1,0,1,1,0,1,1,0,0,0,1
1,45,37,0,1,1,2,0,1,2,1,2,2,1,1,1,2,2,2
2,44,-1,0,0,0,2,0,1,1,1,1,0,1,0,1,2,0,1
2,45,36,0,0,0,4,0,1,0,1,1,0,1,1,2,2,0,2
2,7,-1,1,0,0,0,0,1,2,2,1,0,1,1,2,2,2,1
2,45,10,0,1,1,2,0,1,0,1,0,0,0,1,1,2,0,1
2,45,37,0,1,1,4,0,1,2,1,1,3,0,1,0,0,0,1
2,45,38,0,0,0,1,1,1,1,0,0,0,1,1,1,2,0,2
2,45,-1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,2
2,45,36,0,0,0,0,1,1,1,1,1,0,0,1,1,2,0,2
2,42,-1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1
2,45,28,0,1,1,2,0,1,2,1,1,0,0,1,0,0,0,1
2,45,36,0,1,0,4,1,1,0,1,1,2,1,1,2,2,2,2
2,45,28,0,1,1,2,1,1,0,1,1,0,1,0,1,2,1,1
2,45,36,0,0,0,2,0,0,0,1,1,2,1,1,1,2,0,1
2,7,-1,0,1,1,4,1,1,0,1,1,1,2,1,0,0,0,2
2,45,8,0,1,1,5,0,0,0,1,0,0,2,0,1,0,0,3
1,33,-1,0,0,1,2,1,1,1,2,2,4,1,1,2,2,2,1
2,44,-1,0,0,0,1,0,1,1,1,2,2,1,1,2,2,2,1
2,15,-1,0,0,0,2,0,1,0,1,1,4,2,1,0,0,1,1
2,7,-1,0,0,0,4,0,1,0,1,1,2,1,1,1,2,0,2
2,45,2,0,1,0,5,1,1,2,2,2,0,2,0,1,0,1,2
1,0,-1,0,1,1,0,1,1,1,1,1,4,1,1,1,2,2,1
2,45,37,0,0,0,1,1,1,0,0,2,0,0,1,1,1,2,2
1,45,26,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,2
2,45,28,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,2
2,15,-1,0,0,0,2,0,1,0,1,1,0,0,1,1,1,0,1
2,7,-1,0,0,0,4,0,1,1,0,0,2,1,1,1,2,0,2
3,45,15,0,0,0,5,0,1,2,1,1,1,0,1,2,2,1,1
2,44,-1,0,0,0,2,0,1,0,1,0,2,1,1,1,2,2,2
2,45,2,0,0,0,5,0,1,1,2,0,0,0,1,1,1,2,2
2,44,-1,0,0,0,0,0,1,2,1,1,1,2,1,0,0,1,0
2,45,41,0,0,0,5,1,1,2,2,2,0,1,1,2,2,2,1
2,45,41,1,1,0,0,1,1,0,1,1,1,1,1,2,2,2,2
2,45,38,0,1,1,2,1,1,0,1,1,1,2,1,1,0,1,2
2,17,-1,0,0,0,4,1,1,0,0,0,4,1,1,1,1,2,1
2,45,28,0,1,0,1,1,1,2,1,2,0,1,1,2,1,2,2
2,44,-1,0,0,0,2,0,1,1,2,0,4,1,1,1,2,2,1
2,7,-1,0,0,0,2,0,0,0,1,1,0,1,1,1,2,1,1
1,45,28,1,0,1,0,1,1,2,2,2,4,0,0,1,2,2,1
2,45,2,0,1,0,5,0,1,0,1,1,0,2,1,0,0,1,2
2,45,37,0,0,0,2,0,1,1,1,1,0,1,1,1,2,1,2
2,44,-1,1,0,1,4,0,1,0,1,1,3,0,1,1,0,1,2
1,45,31,0,1,1,3,1,1,1,1,0,0,2,0,1,1,0,2
1,45,6,0,0,1,2,0,1,2,1,1,0,0,1,1,1,1,1
2,45,10,0,0,0,3,0,1,0,1,0,0,1,1,1,1,0,2
2,45,28,0,0,0,3,0,1,2,2,2,2,1,1,1,2,2,2
2,45,37,0,0,1,2,0,1,2,1,1,3,1,1,2,2,1,2
2,45,29,0,0,0,2,0,1,0,1,1,2,0,1,1,0,0,2
0,36,-1,0,0,0,2,1,1,2,1,1,2,1,1,2,2,0,0
1,7,-1,0,0,1,2,0,1,2,1,0,0,0,1,1,2,0,1
2,45,19,0,0,0,2,0,1,0,1,0,0,1,1,2,2,1,1
2,45,20,0,1,0,2,0,1,1,1,0,2,0,0,1,0,0,1
2,26,-1,0,1,1,4,0,1,0,1,1,0,1,1,1,2,1,2
2,45,1,0,0,1,4,0,1,2,1,1,2,0,1,1,0,1,2
2,45,11,0,0,1,0,0,1,2,1,1,2,1,1,2,2,2,1
1,7,-1,0,1,1,2,0,0,2,1,1,3,2,1,0,0,1,1
1,45,15,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,3
2,45,28,0,1,0,2,0,1,0,0,0,4,1,1,1,2,0,1
2,45,42,0,1,1,2,1,1,2,2,2,2,1,1,1,2,2,2
2,45,28,0,0,0,5,0,1,1,2,0,2,1,1,1,2,0,1
2,45,20,0,1,0,4,0,1,1,1,1,2,1,1,1,2,0,2
2,45,31,0,1,1,2,1,1,1,1,1,2,1,1,1,2,1,2
2,5,-1,0,1,1,4,0,1,0,1,1,0,0,1,2,2,0,1
2,45,36,0,1,0,4,1,1,0,1,1,0,0,1,0,0,0,2
2,45,41,0,0,1,2,0,1,0,2,2,1,0,1,1,2,2,2
2,45,28,0,0,1,3,0,1,2,1,0,0,2,1,0,0,1,1
2,45,2,0,0,1,2,0,1,2,2,2,2,1,1,1,1,2,1
2,45,20,0,1,1,4,1,1,2,1,2,4,1,1,2,2,2,3
2,45,28,0,0,0,1,0,1,2,1,0,0,0,1,1,1,0,2
2,45,37,0,0,0,5,0,1,0,1,0,0,0,1,1,0,0,1
2,44,-1,0,0,0,4,0,1,0,1,0,4,1,1,1,1,0,1
